country,date,tot_cases,cumulative_cases,days_elapsed,end_date,end_label
UK,2020-03-28,516,3015,20,FALSE,NA
China,2020-03-29,6,3313,67,FALSE,NA
France,2020-03-29,294,2608,22,FALSE,NA
Turkey,2020-03-29,23,131,7,FALSE,NA
UK,2020-03-29,586,3601,21,FALSE,NA
China,2020-03-30,5,3318,68,FALSE,NA
France,2020-03-30,417,3025,23,FALSE,NA
Turkey,2020-03-30,37,168,8,FALSE,NA
UK,2020-03-30,713,4314,22,FALSE,NA
China,2020-03-31,5,3323,69,FALSE,NA
France,2020-03-31,501,3526,24,FALSE,NA
Turkey,2020-03-31,46,214,9,FALSE,NA
UK,2020-03-31,831,5145,23,FALSE,NA
China,2020-04-01,9,3332,70,FALSE,NA
France,2020-04-01,1253,4779,25,FALSE,NA
Turkey,2020-04-01,63,277,10,FALSE,NA
UK,2020-04-01,925,6070,24,FALSE,NA
China,2020-04-02,7,3339,71,FALSE,NA
France,2020-04-02,609,5388,26,FALSE,NA
Turkey,2020-04-02,79,356,11,FALSE,NA
UK,2020-04-02,1007,7077,25,FALSE,NA
China,2020-04-03,9,3348,72,FALSE,NA
France,2020-04-03,1122,6510,27,FALSE,NA
Turkey,2020-04-03,69,425,12,FALSE,NA
UK,2020-04-03,1062,8139,26,FALSE,NA
China,2020-04-04,5,3353,73,FALSE,NA
France,2020-04-04,1052,7562,28,FALSE,NA
Turkey,2020-04-04,76,501,13,FALSE,NA
UK,2020-04-04,1148,9287,27,FALSE,NA
China,2020-04-05,4,3357,74,FALSE,NA
France,2020-04-05,519,8081,29,FALSE,NA
Turkey,2020-04-05,73,574,14,FALSE,NA
UK,2020-04-05,1223,10510,28,FALSE,NA
China,2020-04-06,4,3361,75,FALSE,NA
France,2020-04-06,833,8914,30,FALSE,NA
Turkey,2020-04-06,75,649,15,FALSE,NA
UK,2020-04-06,1172,11682,29,FALSE,NA
China,2020-04-07,1,3362,76,FALSE,NA
France,2020-04-07,1416,10330,31,FALSE,NA
Turkey,2020-04-07,76,725,16,FALSE,NA
UK,2020-04-07,1295,12977,30,FALSE,NA
China,2020-04-08,4,3366,77,FALSE,NA
France,2020-04-08,544,10874,32,FALSE,NA
Turkey,2020-04-08,87,812,17,FALSE,NA
UK,2020-04-08,1462,14439,31,FALSE,NA
China,2020-04-09,6,3372,78,FALSE,NA
France,2020-04-09,1340,12214,33,FALSE,NA
Turkey,2020-04-09,96,908,18,FALSE,NA
UK,2020-04-09,1378,15817,32,FALSE,NA
China,2020-04-10,1,3373,79,FALSE,NA
France,2020-04-10,985,13199,34,FALSE,NA
Turkey,2020-04-10,98,1006,19,FALSE,NA
